Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
HRTC - 1519,Himsuta AC Seater Volvo/Scania 2+2,07:45,14:20,06h 35m,INR 513,28 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
HRTC - 509,Ordinary 3+2 Non AC Seater,07:50,15:00,07h 10m,INR 281,37 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
HRTC - 592,A/C Executive (2+3),08:05,14:05,06h 00m,INR 385,38 Seats available,"3.4
4",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
HRTC - 129,Ordinary 3+2 Non AC Seater,08:50,14:35,05h 45m,INR 285,37 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
NueGo,Electric A/C Seater (2+2),06:00,11:15,05h 15m,1028,1 Seat available,"4.1
305",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
NueGo,Electric A/C Seater (2+2),07:00,12:15,05h 15m,800,6 Seats available,"4.1
321",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
NueGo,Electric A/C Seater (2+2),08:00,12:55,04h 55m,852,3 Seats available,"3.7
287",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
AdCity Land Travels,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),22:20,03:20,05h 00m,540,39 Seats available,3.6,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
NueGo,Electric A/C Seater (2+2),09:00,14:25,05h 25m,648,14 Seats available,"4.1
267",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),16:00,04:20,12h 20m,INR 799,32 Seats available,"4.6
742",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
IntrCity SmartBus,Volvo A/C Semi Sleeper (2+2),19:30,07:00,11h 30m,INR 509,38 Seats available,"4.6
406",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
Zingbus Plus,Volvo 9600 A/C Semi Sleeper (2+2),21:00,08:40,11h 40m,540,31 Seats available,"4.8
119",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
AdCity Land Travels,Volvo A/C Semi Sleeper (2+2),15:30,04:00,12h 30m,529,33 Seats available,"3.5
260",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
IntrCity SmartBus,Volvo 9600 A/C Semi Sleeper (2+2),18:15,06:00,11h 45m,INR 509,33 Seats available,"4.6
325",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),22:00,07:45,09h 45m,INR 799,27 Seats available,"4.4
988",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),21:30,07:30,10h 00m,INR 799,30 Seats available,"4.4
844",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
AdHimalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),18:00,05:20,11h 20m,555,41 Seats available,"4.4
31",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
IntrCity SmartBus,Volvo 9600 A/C Semi Sleeper (2+2),17:00,05:05,12h 05m,INR 509,34 Seats available,"4.5
373",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),21:00,08:00,11h 00m,INR 799,43 Seats available,"4.6
762",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:40,06:00,08h 20m,INR 960,19 Seats available,"4.7
397",https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-delhi,Hamirpur (Himachal Pradesh) to Delhi
Laxmi holidays,Volvo A/C Semi Sleeper (2+2),20:20,05:30,09h 10m,INR 1099,24 Seats available,"4.5
433",https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-delhi,Hamirpur (Himachal Pradesh) to Delhi
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),22:45,06:40,07h 55m,854,29 Seats available,4.7,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-delhi,Hamirpur (Himachal Pradesh) to Delhi
Everest Holidays,Volvo A/C Semi Sleeper (2+2),21:55,07:30,09h 35m,899,21 Seats available,3.4,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-delhi,Hamirpur (Himachal Pradesh) to Delhi
HRTC - 69,Himsuta AC Seater Volvo/Scania 2+2,00:40,09:30,08h 50m,INR 892,32 Seats available,"4.6
49",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 2100720,Ordinary 3+2 Non AC Seater,05:00,14:50,09h 50m,INR 507,37 Seats available,4.2,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 6,Himsuta AC Seater Volvo/Scania 2+2,06:45,16:10,09h 25m,INR 892,34 Seats available,"4.4
60",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 592,A/C Executive (2+3),08:05,18:10,10h 05m,INR 622,42 Seats available,"2.3
12",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 129,Ordinary 3+2 Non AC Seater,08:50,18:40,09h 50m,INR 507,35 Seats available,"2.5
5",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 7,Himsuta AC Seater Volvo/Scania 2+2,09:25,18:30,09h 05m,INR 892,10 Seats available,"4.6
77",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 657,Ordinary 3+2 Non AC Seater,11:00,22:00,11h 00m,INR 507,33 Seats available,"2.7
8",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 515,Ordinary 3+2 Non AC Seater,12:30,22:50,10h 20m,INR 507,36 Seats available,4.2,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 525,Ordinary 3+2 Non AC Seater,16:50,03:00,10h 10m,INR 512,22 Seats available,4.2,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 532,Ordinary 3+2 Non AC Seater,17:59,04:15,10h 16m,INR 512,24 Seats available,"2.0
4",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 538,Ordinary 3+2 Non AC Seater,18:31,05:30,10h 59m,INR 507,30 Seats available,"4.0
5",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 93,Himsuta AC Seater Volvo/Scania 2+2,19:35,04:45,09h 10m,INR 892,30 Seats available,"3.9
38",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 301,Ordinary 3+2 Non AC Seater,19:43,05:30,09h 47m,INR 507,23 Seats available,4.2,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 556,Ordinary 3+2 Non AC Seater,20:10,05:45,09h 35m,INR 507,26 Seats available,"4.5
10",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 591,A/C Executive (2+3),21:00,07:20,10h 20m,INR 622,40 Seats available,"4.0
44",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
RSRTC - 192344,Super Luxury Volvo AC Seater Pushback 2+2,03:00,14:00,11h 00m,INR 1103,30 Seats available,3.7,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),23:00,08:00,09h 00m,548,18 Seats available,"4.7
644",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),23:30,07:40,08h 10m,INR 760,30 Seats available,"4.5
590",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
AdCity Land Travels,Volvo A/C Semi Sleeper (2+2),09:40,19:30,09h 50m,673,19 Seats available,"4.1
270",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:30,08:00,08h 30m,INR 599,47 Seats available,"4.4
824",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
RSRTC - 192348,Super Luxury Volvo AC Seater Pushback 2+2,16:30,02:00,09h 30m,INR 1103,30 Seats available,"2.2
13",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),21:30,05:30,08h 00m,INR 550,28 Seats available,"4.6
656",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),21:55,06:35,08h 40m,900,37 Seats available,"4.4
510",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
AdCity Land Travels,Volvo A/C Semi Sleeper (2+2),10:30,19:00,08h 30m,INR 450,23 Seats available,"3.8
241",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Laxmi holidays,Volvo A/C Semi Sleeper (2+2),10:30,18:30,08h 00m,INR 849,24 Seats available,"4.3
410",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),20:30,04:30,08h 00m,INR 799,44 Seats available,"4.2
711",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Zingbus Plus,Volvo A/C Semi Sleeper (2+2),20:30,04:50,08h 20m,673,27 Seats available,"4.4
426",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Laxmi holidays,Volvo A/C Semi Sleeper (2+2),09:30,18:00,08h 30m,INR 599,22 Seats available,"4.0
406",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
City Land Travels,Volvo A/C Semi Sleeper (2+2),22:30,05:30,07h 00m,540,41 Seats available,"3.9
453",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
City Land Travels,Volvo A/C Semi Sleeper (2+2),22:00,05:00,07h 00m,583,40 Seats available,"3.8
312",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
HRTC - 783,A/C Executive (2+3),00:30,09:20,08h 50m,INR 583,28 Seats available,"3.4
12",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
HRTC - 791,Ordinary 3+2 Non AC Seater,08:40,19:40,11h 00m,INR 549,28 Seats available,3.9,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
HRTC - 804,Ordinary 3+2 Non AC Seater,09:38,19:00,09h 22m,INR 559,37 Seats available,"4.1
7",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
HRTC - 57,Himsuta AC Seater Volvo/Scania 2+2,10:00,18:20,08h 20m,INR 938,13 Seats available,"3.9
31",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
HRTC - 752,Ordinary 3+2 Non AC Seater,11:15,22:00,10h 45m,INR 549,27 Seats available,3.9,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
HRTC - 775,Ordinary 3+2 Non AC Seater,11:45,22:05,10h 20m,INR 565,39 Seats available,3.9,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
HRTC - 802,Ordinary 3+2 Non AC Seater,12:40,23:15,10h 35m,INR 554,39 Seats available,3.9,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
HRTC - 751,Ordinary 3+2 Non AC Seater,13:25,21:00,07h 35m,INR 549,37 Seats available,3.9,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
HRTC - 725,Ordinary 3+2 Non AC Seater,13:35,22:30,08h 55m,INR 562,37 Seats available,3.9,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
HRTC - 724,Ordinary 3+2 Non AC Seater,14:20,23:55,09h 35m,INR 567,37 Seats available,3.9,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
HRTC - 707,A/C Executive (2+3),14:58,01:20,10h 22m,INR 580,41 Seats available,"1.8
5",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
HRTC - 776,Ordinary 3+2 Non AC Seater,15:24,23:30,08h 06m,INR 565,35 Seats available,"1.7
4",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
HRTC - 801,Ordinary 3+2 Non AC Seater,15:45,00:15,08h 30m,INR 549,36 Seats available,3.9,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
HRTC - 11,Himsuta AC Seater Volvo/Scania 2+2,16:00,00:01,08h 01m,INR 920,18 Seats available,3.9,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
HRTC - 754,Ordinary 3+2 Non AC Seater,16:15,03:00,10h 45m,INR 544,37 Seats available,3.9,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),16:00,23:00,07h 00m,INR 699,32 Seats available,"4.6
272",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),22:00,03:30,05h 30m,INR 699,27 Seats available,"4.6
211",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),21:00,03:10,06h 10m,INR 699,44 Seats available,"4.8
121",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
AdCity Land Travels,Volvo A/C Semi Sleeper (2+2),22:00,04:00,06h 00m,673,35 Seats available,"3.5
60",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
